log,n_traces,n_unique_traces,ratio_unique_traces_per_trace,n_events,trace_len_min,trace_len_max,trace_len_mean,trace_len_median,trace_len_mode,trace_len_std,trace_len_variance,trace_len_q1,trace_len_q3,trace_len_iqr,trace_len_geometric_mean,trace_len_geometric_std,trace_len_harmonic_mean,trace_len_skewness,trace_len_kurtosis,trace_len_coefficient_variation,trace_len_entropy,trace_len_hist1,trace_len_hist2,trace_len_hist3,trace_len_hist4,trace_len_hist5,trace_len_hist6,trace_len_hist7,trace_len_hist8,trace_len_hist9,trace_len_hist10,trace_len_skewness_hist,trace_len_kurtosis_hist,ratio_most_common_variant,ratio_top_1_variants,ratio_top_5_variants,ratio_top_10_variants,ratio_top_20_variants,ratio_top_50_variants,ratio_top_75_variants,mean_variant_occurrence,std_variant_occurrence,skewness_variant_occurrence,kurtosis_variant_occurrence,n_unique_activities,activities_min,activities_max,activities_mean,activities_median,activities_std,activities_variance,activities_q1,activities_q3,activities_iqr,activities_skewness,activities_kurtosis,n_unique_start_activities,start_activities_min,start_activities_max,start_activities_mean,start_activities_median,start_activities_std,start_activities_variance,start_activities_q1,start_activities_q3,start_activities_iqr,start_activities_skewness,start_activities_kurtosis,n_unique_end_activities,end_activities_min,end_activities_max,end_activities_mean,end_activities_median,end_activities_std,end_activities_variance,end_activities_q1,end_activities_q3,end_activities_iqr,end_activities_skewness,end_activities_kurtosis,entropy_trace,entropy_prefix,entropy_global_block,entropy_lempel_ziv,entropy_k_block_diff_1,entropy_k_block_diff_3,entropy_k_block_diff_5,entropy_k_block_ratio_1,entropy_k_block_ratio_3,entropy_k_block_ratio_5,entropy_knn_3,entropy_knn_5,entropy_knn_7
scenario1_1000_early_0.15,1000,557,0.557,10799,9,13,10.799,11,13,1.48613559273708,2.208599,10,13,3,10.6992279289208,1.14530805066562,10.6026017977465,0.390858410105281,-1.20754233040239,0.137617889872866,6.89840445602166,0.594999999999999,0,0.622500000000002,0,0,0.627499999999999,0,0,0,0.654999999999999,0.414150194839292,-1.8204801194325,0.045,0.112,0.277,0.392,0.518,0.721,0.86,1.79533213644524,2.68537760787318,9.30395997840664,126.207127476823,22,55,1000,490.863636363636,262,391.092327561774,152953.208677686,249,1000,751,0.463307230980768,-1.63332319948649,14,1,930,71.4285714285714,4,238.16672260226,56723.387755102,3,8.5,5.5,3.3261650249291,9.06858741815102,7,1,981,142.857142857143,4,342.175155051757,117083.836734694,1.5,5.5,4,2.0411220573225,2.16640660457199,8.499,9.569,11.469,1.409,3.991,3.991,3.991,3.991,3.991,3.991,4.484,4.042,3.761
scenario1_1000_early_0.2,1000,557,0.557,10703,9,13,10.703,10,9,1.47945631905778,2.188791,9,11,2,10.6040056600729,1.14509488096132,10.5088590416606,0.477858370013582,-1.11699392618456,0.138228190139006,6.8983581246949,0.659999999999999,0,0.632500000000002,0,0,0.602499999999999,0,0,0,0.604999999999999,0.415449864807463,-1.81742859212552,0.04,0.117,0.299,0.408,0.537,0.721,0.86,1.79533213644524,2.78062928425129,7.51776447971255,77.4176576639646,22,48,1000,486.5,247.5,393.962821273092,155206.704545455,241.25,1000,758.75,0.471185348727852,-1.6373136993413,17,1,920,58.8235294117647,3,215.342199709622,46372.2629757786,2,5,3,3.74716941265482,12.0492044982546,5,3,976,200,4,388.01700993642,150557.2,4,13,9,1.49967225845979,0.249559609992989,8.44,9.592,11.433,1.453,3.976,3.976,3.976,3.976,3.976,3.976,4.531,4.071,3.793
scenario1_1000_insert_0.05,1000,465,0.465,10761,9,16,10.761,10,9,1.53031990119713,2.341879,9,12,3,10.6562844887637,1.14892759484057,10.5561155041628,0.5596756815266,-0.749499410051956,0.142209822618449,6.89784214357757,0.367142857142857,0.352857142857142,0.344285714285715,0,0.015714285714286,0.327142857142857,0,0.014285714285714,0.002857142857143,0.004285714285714,0.414653083224563,-1.81227122591463,0.044,0.117,0.326,0.441,0.573,0.767,0.883,2.1505376344086,3.49975801485791,6.51682954723269,56.9203413613484,92,1,1000,116.967391304348,1,282.764937370669,79956.0098062382,1,1,0,2.60557673446872,5.29629698660584,6,1,995,166.666666666667,1,370.441928272465,137227.222222222,1,1,0,1.78885438199983,1.2,6,1,995,166.666666666667,1,370.441928272465,137227.222222222,1,1,0,1.78885438199983,1.2,8.066,9.079,11.295,1.159,4.046,4.046,4.046,4.046,4.046,4.046,4.221,3.786,3.519
scenario1_1000_insert_0.1,1000,502,0.502,10880,9,16,10.88,11,11,1.5961202962183,2.5476,10,13,3,10.767824671316,1.15351942027814,10.6608626953158,0.616993032169984,-0.477154969382951,0.1467022331083,6.89723241348329,0.332857142857143,0.348571428571428,0.35,0,0.032857142857143,0.317142857142857,0,0.02,0.02,0.007142857142857,0.406403526819272,-1.8097622252194,0.053,0.129,0.323,0.437,0.561,0.749,0.874,1.99203187250996,3.37555311315068,8.65228123729333,108.570589967284,178,1,1000,61.123595505618,1,211.52893499975,44744.4903421285,1,1,0,3.94856031347288,14.4832063835573,10,1,991,100,1,297,88209,1,1,0,2.66666666666667,5.11111111111111,14,1,987,71.4285714285714,1,253.933825543392,64482.387755102,1,1,0,3.32820117735138,9.07692307692309,8.196,9.246,11.455,1.303,4.136,4.136,4.136,4.136,4.136,4.136,4.307,3.871,3.592
scenario1_1000_insert_0.15,1000,556,0.556,11028,9,16,11.028,11,11,1.6496108632038,2.721216,10,13,3,10.9090036017698,1.15765129386459,10.7947655092863,0.54876915309673,-0.490174613762348,0.149583864998531,6.89677989201227,0.308571428571429,0.305714285714285,0.367142857142857,0,0.048571428571429,0.328571428571429,0,0.035714285714286,0.021428571428571,0.012857142857143,0.416235076319839,-1.74643361723976,0.041,0.114,0.292,0.392,0.522,0.722,0.861,1.79856115107914,2.69473202072613,7.99686665759542,90.6444098135073,246,1,1000,44.8292682926829,1,182.308155422655,33236.2635336109,1,1,0,4.72818233104297,21.5828923445861,20,1,981,50,1,213.586048233493,45619,1,1,0,4.12948320967011,15.0526315789474,24,1,977,41.6666666666667,1,195.030481948051,38036.8888888889,1,1,0,4.58731710925565,19.0434782608696,8.477,9.478,11.654,1.437,4.212,4.212,4.212,4.212,4.212,4.212,4.43,3.98,3.701
scenario1_1000_insert_0.2,1000,596,0.596,11094,9,16,11.094,11,10,1.6495951018356,2.721164,10,13,3,10.9751518266936,1.15721808096908,10.8605835574544,0.492735675852112,-0.638534942528907,0.14869254568556,6.8968831365571,0.275714285714286,0.337142857142857,0.33,0,0.077142857142857,0.322857142857143,0,0.052857142857143,0.022857142857143,0.01,0.371345231674419,-1.74183406983939,0.03,0.102,0.284,0.392,0.523,0.702,0.851,1.67785234899329,2.34096422621118,6.67759695162632,58.7200609926374,380,1,1000,29.1947368421053,1,147.907470982027,21876.6199722992,1,1,0,6.03339343762151,36.2035078300816,30,1,971,33.3333333333333,1,174.120328764016,30317.8888888889,1,1,0,5.19946946895745,25.0344827586207,36,1,965,27.7777777777778,1,158.419469747445,25096.7283950617,1,1,0,5.74704893215391,31.0285714285714,8.62,9.623,11.837,1.595,4.332,4.332,4.332,4.332,4.332,4.332,4.533,4.078,3.81
scenario1_1000_late_0.05,1000,496,0.496,10805,9,13,10.805,11,13,1.49230526367764,2.226975,10,13,3,10.704376154645,1.14595907053648,10.6068660295954,0.380701458147413,-1.22512991076367,0.138112472344067,6.89833334792922,0.6,0,0.612500000000002,0,0,0.624999999999999,0,0,0,0.662499999999999,0.415488919870918,-1.81723213399972,0.047,0.125,0.315,0.423,0.556,0.752,0.876,2.01612903225806,3.41659581324637,7.73251226863384,78.0627742028953,22,53,1000,491.136363636364,265,390.969923913539,152857.481404959,245,1000,755,0.461936653756666,-1.63278348190394,6,1,992,166.666666666667,1,369.101913056844,136236.222222222,1,3.25,2.25,1.78881897261656,1.19993650443816,3,1,996,333.333333333333,3,468.576805040777,219564.222222222,2,499.5,497.5,0.70709711969599,-1.5,8.181,9.157,11.317,1.208,3.991,3.991,3.991,3.991,3.991,3.991,4.303,3.853,3.582
scenario1_1000_late_0.1,1000,509,0.509,10775,9,13,10.775,11,13,1.51603924751307,2.298375,9,13,4,10.6709870124101,1.14875403365562,10.5703817410823,0.387379004950314,-1.2540327840038,0.140699698145065,6.89798245743156,0.659999999999999,0,0.572500000000002,0,0,0.602499999999999,0,0,0,0.664999999999999,0.427761701154796,-1.7913451392081,0.048,0.137,0.32,0.423,0.548,0.745,0.872,1.96463654223969,3.34504397137803,8.22425395318696,89.8851243644493,22,54,1000,489.772727272727,266,392.069675141153,153718.630165289,232,1000,768,0.461400194622333,-1.63334800700347,5,1,979,200,7,389.521758057236,151727.2,1,12,11,1.49958162950647,0.249440398751835,2,3,997,500,500,497,247009,251.5,748.5,497,0,-2,8.227,9.235,11.35,1.262,3.985,3.985,3.985,3.985,3.985,3.985,4.34,3.879,3.597
scenario1_1000_late_0.15,1000,516,0.516,10821,9,13,10.821,11,13,1.49095908729918,2.222959,10,13,3,10.7206715157023,1.14562457078459,10.6234136073794,0.376685546682763,-1.23526532183047,0.137783854292503,6.89837643915381,0.577499999999999,0,0.637500000000002,0,0,0.612499999999999,0,0,0,0.672499999999999,0.423881777117526,-1.79928806969589,0.053,0.127,0.295,0.413,0.548,0.742,0.871,1.93798449612403,3.16105648609555,9.72260067629526,136.048997791206,22,51,1000,491.863636363636,269,390.689401798521,152638.208677686,245,1000,755,0.457464007841583,-1.63076618599629,8,1,983,125,2,324.297317287701,105168.75,1,5,4,2.26768065449777,3.14258921660416,3,1,995,333.333333333333,4,467.870589895207,218902.888888889,2.5,499.5,497,0.707084977193144,-1.5,8.303,9.265,11.414,1.297,3.992,3.992,3.992,3.992,3.992,3.992,4.376,3.934,3.664
scenario1_1000_late_0.2,1000,556,0.556,10713,9,13,10.713,10.5,9,1.50287424623619,2.258631,9,11,2,10.6105901163411,1.14782645689058,10.5118803850926,0.433450555656728,-1.18108370970526,0.140285097193708,6.89805921078645,0.707499999999999,0,0.542500000000002,0,0,0.629999999999999,0,0,0,0.619999999999999,0.451880134236194,-1.73816542972518,0.048,0.132,0.306,0.413,0.535,0.722,0.861,1.79856115107914,3.03796092186969,8.9262024506145,108.304075904007,22,52,1000,486.954545454545,250,393.601607220564,154922.225206612,224.75,1000,775.25,0.471916673458995,-1.63903017239908,6,1,980,166.666666666667,3.5,363.75021954938,132314.222222222,1.25,9.5,8.25,1.78849033648907,1.19934531140849,3,4,990,333.333333333333,6,464.334170853516,215606.222222222,5,498,493,0.707096942335012,-1.5,8.398,9.342,11.463,1.412,3.979,3.979,3.979,3.979,3.979,3.979,4.468,4.019,3.744
scenario1_1000_rework_0.05,1000,470,0.47,10775,9,16,10.775,10,10,1.52524588181709,2.326375,10,12.25,2.25,10.6708480627929,1.14846816358568,10.5710439142009,0.521009197149489,-0.943166551404823,0.141554142163999,6.89791917521333,0.352857142857143,0.374285714285714,0.331428571428572,0,0.012857142857143,0.33,0,0.024285714285714,0.001428571428571,0.001428571428571,0.417497463202385,-1.79853690611883,0.053,0.128,0.314,0.431,0.574,0.765,0.882,2.12765957446808,3.59974597967037,8.3132286262852,95.6975089959864,22,50,1014,489.772727272727,251.5,396.041771421581,156849.084710744,241.5,1004.25,762.75,0.468620033693635,-1.63601421646505,1,1000,1000,1000,1000,0,0,1000,1000,0,0,-3,1,1000,1000,1000,1000,0,0,1000,1000,0,0,-3,8.089,9.076,11.257,1.121,2.034,3.977,3.977,3.977,3.977,3.977,4.22,3.774,3.506
scenario1_1000_rework_0.1,1000,496,0.496,10872,9,16,10.872,11,10,1.56064602008271,2.435616,10,13,3,10.7638997805786,1.15080184437432,10.6601609984272,0.53336016927289,-0.702326628949522,0.143547279257056,6.89764153813769,0.325714285714286,0.362857142857142,0.328571428571429,0,0.048571428571429,0.327142857142857,0,0.018571428571429,0.012857142857143,0.004285714285714,0.400531579229086,-1.79753769256677,0.046,0.134,0.314,0.425,0.562,0.752,0.876,2.01612903225806,3.45298811916471,7.82378678131899,77.110996258128,22,48,1021,494.181818181818,254.5,398.48242077841,158788.239669421,241,1011,770,0.469498670768644,-1.63606938810409,1,1000,1000,1000,1000,0,0,1000,1000,0,0,-3,1,1000,1000,1000,1000,0,0,1000,1000,0,0,-3,8.174,9.157,11.326,1.196,2.041,3.98,3.98,3.98,3.98,3.98,4.269,3.847,3.556
scenario1_1000_rework_0.15,1000,552,0.552,10946,9,16,10.946,11,11,1.57641492000044,2.485084,10,13,3,10.8359581355962,1.15189908309593,10.7298463139185,0.490294716655769,-0.679368167948474,0.144017441987981,6.89755314914251,0.311428571428572,0.335714285714285,0.344285714285715,0,0.061428571428572,0.334285714285715,0,0.02,0.015714285714286,0.005714285714286,0.383541788214926,-1.80553885622902,0.038,0.131,0.306,0.404,0.527,0.724,0.862,1.81159420289855,2.91187156468855,7.52124805860271,70.3731710769754,22,57,1037,497.545454545455,261,402.093468020551,161679.157024793,239,1015,776,0.476210061291556,-1.63767462838735,1,1000,1000,1000,1000,0,0,1000,1000,0,0,-3,1,1000,1000,1000,1000,0,0,1000,1000,0,0,-3,8.412,9.314,11.453,1.323,2.076,3.98,3.98,3.98,3.98,3.98,4.383,3.943,3.671
scenario1_1000_rework_0.2,1000,580,0.58,11064,9,16,11.064,11,11,1.57857657400584,2.491904,10,13,3,10.9547042331383,1.1505213762274,10.8491435857178,0.4802885032455,-0.706918881998154,0.142676841468351,6.89773651589911,0.25,0.358571428571428,0.362857142857143,0,0.068571428571429,0.312857142857143,0,0.05,0.022857142857143,0.002857142857143,0.456003530953324,-1.6074362784164,0.03,0.099,0.285,0.392,0.512,0.71,0.855,1.72413793103448,2.33336447518995,6.32448103377642,53.5265107466107,22,60,1040,502.909090909091,260.5,402.736086503185,162196.355371901,252,1027.25,775.25,0.47193863375835,-1.63491967155033,1,1000,1000,1000,1000,0,0,1000,1000,0,0,-3,1,1000,1000,1000,1000,0,0,1000,1000,0,0,-3,8.594,9.442,11.538,1.391,2.097,3.988,3.988,3.988,3.988,3.988,4.426,3.986,3.708
scenario1_1000_skip_0.05,1000,482,0.482,10759,7,13,10.759,10,13,1.56362367595275,2.444919,9,13,4,10.646787764019,1.15572237155608,10.5365823877499,0.277450296153456,-1.14406407537597,0.145331692160308,6.89726781125498,0.01,0.018333333333333,0,0.41,0,0.396666666666667,0.371666666666667,0,0.01,0.449999999999999,0.431591105125909,-1.77517768532533,0.042,0.107,0.309,0.417,0.556,0.759,0.879,2.0746887966805,3.1849331511056,6.78573023480255,63.4621885288876,22,45,1000,489.045454545455,280,388.192018707791,150693.04338843,230.25,990.75,760.5,0.446474489954199,-1.62669419997677,4,1,993,250,3,428.972609848228,184017.5,1.75,251.25,249.5,1.15467858314569,-0.666683589430595,1,1000,1000,1000,1000,0,0,1000,1000,0,0,-3,8.192,9.082,11.221,1.11,3.99,3.99,3.99,3.99,3.99,3.99,4.195,3.766,3.495
scenario1_1000_skip_0.1,1000,521,0.521,10588,6,13,10.588,10,9,1.59067784293363,2.530256,9,11,2,10.4688765043633,1.16285813950336,10.3500637056244,0.234378292357243,-0.80999785363188,0.150234023699814,6.89650669588675,0.004285714285714,0.017142857142857,0.035714285714286,0,0.37,0.331428571428572,0,0.321428571428571,0.017142857142857,0.331428571428572,0.414042553823122,-1.78927935940101,0.045,0.138,0.298,0.416,0.546,0.739,0.869,1.91938579654511,3.14847378053978,8.32963483508789,90.404477914257,22,51,1000,481.272727272727,251,386.566492200969,149433.652892562,233.25,977.75,744.5,0.469070225251825,-1.63493282666397,5,1,993,200,2,396.50069356812,157212.8,1,3,2,1.49998688446481,0.249982500612905,1,1000,1000,1000,1000,0,0,1000,1000,0,0,-3,8.305,9.131,11.233,1.203,3.984,3.984,3.984,3.984,3.984,3.984,4.308,3.86,3.595
scenario1_1000_skip_0.15,1000,545,0.545,10458,6,13,10.458,10,9,1.56978852078871,2.464236,9,11,2,10.33977665286,1.16367186584912,10.2206782734349,0.203206021437633,-0.546220624525244,0.15010408498649,6.89649627155244,0.005714285714286,0.028571428571429,0.045714285714286,0,0.365714285714286,0.341428571428572,0,0.335714285714285,0.032857142857143,0.272857142857143,0.440596699384729,-1.70784064721769,0.049,0.123,0.298,0.407,0.536,0.727,0.863,1.8348623853211,2.97239211567368,9.34596678093482,123.761842086157,22,62,1000,475.363636363636,244,384.288781736593,147677.867768595,228.75,969.75,741,0.477738743698768,-1.63915129425993,9,1,975,111.111111111111,2,305.447374788902,93298.0987654321,1,6,5,2.47435903070065,4.12353648666499,1,1000,1000,1000,1000,0,0,1000,1000,0,0,-3,8.4,9.181,11.189,1.238,3.98,3.98,3.98,3.98,3.98,3.98,4.346,3.912,3.641
scenario1_1000_skip_0.2,1000,549,0.549,10380,6,13,10.38,10,9,1.64121905911429,2.6936,9,11,2,10.2496234107089,1.17344655605636,10.1180785040024,0.201417500445453,-0.58610501267169,0.158113589510047,6.89525674164232,0.01,0.032857142857143,0.065714285714286,0,0.38,0.347142857142858,0,0.274285714285714,0.037142857142857,0.281428571428572,0.472544958983812,-1.57686761090866,0.054,0.137,0.311,0.406,0.528,0.725,0.862,1.82149362477231,3.16990239494737,10.376710128344,145.359402858743,22,48,1000,471.818181818182,243.5,385.417676195536,148546.785123967,220.5,963,742.5,0.470090700973567,-1.63406656562794,5,1,981,200,7,390.51145949895,152499.2,2,9,7,1.49977997051523,0.249706468854548,1,1000,1000,1000,1000,0,0,1000,1000,0,0,-3,8.383,9.123,11.14,1.251,3.966,3.966,3.966,3.966,3.966,3.966,4.359,3.908,3.631
